2025-06-21 07:08:37 |    DEBUG | enrichment | [API_REQUEST] musicbrainz: Requesting Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |     INFO | enrichment | [API_RESPONSE] musicbrainz: Response from musicbrainz: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |    DEBUG | enrichment | [CACHE_MISS] spotify: Cache miss for Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |    DEBUG | enrichment | [API_REQUEST] spotify: Requesting Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |     INFO | enrichment | [API_RESPONSE] spotify: Response from spotify: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |    DEBUG | enrichment | [CACHE_MISS] discogs: Cache miss for Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |    DEBUG | enrichment | [API_REQUEST] discogs: Requesting Alice Cooper - School's Out_PN | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |     INFO | enrichment | [API_RESPONSE] discogs: Response from discogs: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |     INFO | enrichment | [API_REQUEST] curator: Curación completada: 4 -> 4 géneros | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:40 |     INFO | enrichment | [AGGREGATION] aggregator: Aggregation completed: 4 genres found | Context: {"task_type": "aggregation", "track_artist": "Alice Cooper", "track_title": "School's Out_PN"}
2025-06-21 07:08:53 |     INFO | enrichment | [AGGREGATION] aggregator: Starting aggregation for The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:53 |    DEBUG | enrichment | [CACHE_MISS] musicbrainz: Cache miss for The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:53 |    DEBUG | enrichment | [API_REQUEST] musicbrainz: Requesting The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |     INFO | enrichment | [API_RESPONSE] musicbrainz: Response from musicbrainz: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |    DEBUG | enrichment | [CACHE_MISS] spotify: Cache miss for The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |    DEBUG | enrichment | [API_REQUEST] spotify: Requesting The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |     INFO | enrichment | [API_RESPONSE] spotify: Response from spotify: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
